WorkerId,WorkTimeInSeconds,Answer.img_0_id,Answer.img_0_word_0,Answer.img_0_word_1,Answer.img_0_word_2,Answer.img_0_word_3,Answer.img_0_word_4,Answer.img_1_id,Answer.img_1_word_0,Answer.img_1_word_1,Answer.img_1_word_2,Answer.img_1_word_3,Answer.img_1_word_4,Answer.img_2_id,Answer.img_2_word_0,Answer.img_2_word_1,Answer.img_2_word_2,Answer.img_2_word_3,Answer.img_2_word_4,Answer.img_3_id,Answer.img_3_word_0,Answer.img_3_word_1,Answer.img_3_word_2,Answer.img_3_word_3,Answer.img_3_word_4,Answer.img_4_id,Answer.img_4_word_0,Answer.img_4_word_1,Answer.img_4_word_2,Answer.img_4_word_3,Answer.img_4_word_4,Answer.img_5_id,Answer.img_5_word_0,Answer.img_5_word_1,Answer.img_5_word_2,Answer.img_5_word_3,Answer.img_5_word_4,Answer.img_6_id,Answer.img_6_word_0,Answer.img_6_word_1,Answer.img_6_word_2,Answer.img_6_word_3,Answer.img_6_word_4,Answer.img_7_id,Answer.img_7_word_0,Answer.img_7_word_1,Answer.img_7_word_2,Answer.img_7_word_3,Answer.img_7_word_4,Answer.img_8_id,Answer.img_8_word_0,Answer.img_8_word_1,Answer.img_8_word_2,Answer.img_8_word_3,Answer.img_8_word_4,Answer.img_9_id,Answer.img_9_word_0,Answer.img_9_word_1,Answer.img_9_word_2,Answer.img_9_word_3,Answer.img_9_word_4,Answer.treatment_id
A399QZ02UP2U9V,589,ambiguous_0,breakfast,sausages,foodporn,food presentation,bread,ambiguous_1,pasta sald,asparagus,mediterranean diet,recipe,rigatoni,ambiguous_2,seafood,recipe,caviar,fine dining,healthy alternative,ambiguous_3,bruschetta,italian food,light alternatives,quick recipes,tomato,ambiguous_4,schnitzel,cotoletta,continental dinner,battered meat,restaurant,test_0,indian food,spicy sauces,ethnic food,fine dining,indian buffet,test_1,italian food,red wine,pizza,calzone,traditional,test_2,asian food,dumplings,chinese food,chinese buffet,spring rolls,test_3,sushi platter,asian food,seafood,japanese food,raw fish,test_4,russian food,borsch,traditional,meat based first course,russian recipies,0
A2GTI85GDEOESP,324,cultural_0,colorful,traditional,festival,asian,loud,cultural_1,Russian,dance,dull,hard,interesting,cultural_2,Spanish,Music,Happy,Fun,Fast,cultural_3,Animal Friendly,Outdoors,European,Athletic,Fun,cultural_4,Rodeo,cowboy,scary,Fast,Loud,test_0,India,Delicious,colorful,Feast,Happy,test_1,Italian,Delicious,Typical,Food,Desirable,test_2,Asian,Delicious,Dull,Food,Happy,test_3,Seafood,Asian,Sushi,Variety,Delicious,test_4,Russian,Dolls,Soup,Delicious,Food,6
A21G010TCSMZZ8,911,cultural_0,dragon,cultural,celebration,chinese,dance,cultural_1,dance,group,stage,performance,men,cultural_2,musicians,violinist,guitar,singers,party,cultural_3,english,horses,dogs,cops,riders,cultural_4,mexican,horse,game,cowboy,jumping,test_0,vinayagar,pooja,prasatham,statue,god,test_1,eatables,pizza,wine,noodles,vegetables,test_2,foods,rolls,cakes,wheats,eatables,test_3,salad,sweets,fruits,sea food,prans,test_4,rusk,tomato,soup,jars,starter,1
A3FPD5WHNNREV7,672,cultural_0,dancers,Dragon,festival,stick,yellow,cultural_1,dancers,cultural dance,blue skert,black pant,12 people,cultural_2,musicians,violin,cap,black coat,aa,cultural_3,dogs,hourse,4 red dress men,4 black coat mens,lots of dogs,cultural_4,hourse,men,festival,sports,good,test_0,ganapathi,foods,gold,festival,ganapathi pooja,test_1,canteen,sanks,vine bottle,red check carpet,pizza,test_2,kerala foods,6 items,plates,jakfruit,idiappam,test_3,chinnes dishess,pron dishess,sea foods,garnished,black plate,test_4,indian food,cake,soup,white plate,bowl,6
A3HBQMBW7XGZUM,774,ambiguous_0,rusk,butter,mint,capsicum,chukiny,ambiguous_1,macroni,tomatoe,mint,lemon,coriander leaves,ambiguous_2,fish,cucumber,apple,egg,butter,ambiguous_3,tomatoe,leaves,fish,butter,oil,ambiguous_4,macroni,butter,lemon,fish,orange,test_0,samosa,kesari,vadai,sambar,curd,test_1,pizza,burger,salet,chauce,noodles,test_2,role,sweet,pups,fruit,cake,test_3,fish,sweet,beda,ball,leaf,test_4,bread,masala,curd,tomatoe,boxes,3
A32LRPIXJUA1E6,1051,ambiguous_0,this is beatifullu,this is color full foods,this food from restorent food,beutifull and best,nice,ambiguous_1,this fresh vegitabile food,this food is hotel,fully vegiterian foods,i like it,color full food,ambiguous_2,nice food,rastorent foods,big hotel food,i like it for color fully,nice and better,ambiguous_3,tomato foods,full vegiterian,nice and beutifull,hotel foods,city hotel food,ambiguous_4,vegiterian food,nice and beutifull,i qeulity foods,city hotel foods,i like it,test_0,kerala temble,kerala pooja,vegitable food,color fully,i like it,test_1,restorents foods,big hotel foods,beutifuly,beutifull pizza,nice bred,test_2,hotel foods,hotel foods and nice,color full restorents foods,i like it,best food,test_3,nice and beutifull,i like it,this is a non-veg,"this chicken , mutten and veg",top foods items,test_4,this is chines food,better qualitty foods,this china hotel foods,color full and nice,i like for this foods,0
A134SDBSJMLOCF,228,ingredients_0,nuts,peanuts,almonds,cashews,treenuts,ingredients_1,bread,egg,sauce,meat,dairy,ingredients_2,peppers,lime,onion,tomatillos,garlic,ingredients_3,flour,water,eggs,butter,sugar,ingredients_4,vegetables,celery,beans,greens,radish,test_0,asian,food,sauce,meat,seasoning,test_1,italian,pizza,pasta,calzone,wine,test_2,eggrolls,springrolls,dumplings,international,food,test_3,seafood,fish,shrimp,fresh,raw,test_4,asian,soup,tomato,sauce,bread,4
A3DY9JPLPQUN1O,376,ambiguous_0,Fresh,hungry,tasty,chilli,nice,ambiguous_1,fresh,vegetables,tomato,lime,hungry,ambiguous_2,cheese,fresh,small,cucumber,hungry,ambiguous_3,cheese,hungry,tomato,fresh,green,ambiguous_4,chilli,lime,fried,hungry,fresh,test_0,feast,all,fresh,ready,pray,test_1,fresh,noodles,cheese,fried,pizza,test_2,chappthi,roll,maitha,fresh,hungry,test_3,fish,nonvegeterian,hungry,tasty,cheese,test_4,dolls,tomato,cake,fresh,tasty,3
A3HEFMJ50IMTY6,949,ambiguous_0,food,recipedog,hotdog,garnish,vegetable,ambiguous_1,food,tomato,lemon,red,snacks,ambiguous_2,disgust,plate,served,halfeaten,dish,ambiguous_3,sndwicheen,tomato,food,recipe,green,ambiguous_4,lemeadon,bread,plate,cheese,mushroom,test_0,statue,sweet,vinayagar,somasa,chutney,test_1,noodles,pizza,tomato,food,dishes,test_2,food,sweet,rolls,vessels,traditional,test_3,prawn,fish,sweet,dishes,food,test_4,bread,roast,recipe,plate,bowl,5
A3JDXFWEJJJ29U,283,ambiguous_0,toast,vegetables,sausage,garnish,sauce,ambiguous_1,pasta,tomatoes,asparagus,bacon,herbs,ambiguous_2,pickles,roe,salmon,sauce,garnish,ambiguous_3,meat,broccoli,tomato,pesto,red pepper,ambiguous_4,fried meat,lemon,potatoes,herbs,indulgent,test_0,ganesha,Indian feast,samosa,naan,paneer,test_1,Italian feast,spaghetti with meatballs,calazone,anitpasto,pizza,test_2,fried dumplings,egg rolls,spring rolls,steamed dumplings,Chinese appetisers,test_3,large sushi plate,tuna rolls,salmon rolls,egg sushi,ebi shrimp sushi,test_4,Russian nesting dools,Borsct,Rye bread,doilies,garnish,0
A2BXPMGJ66K3ZS,279,ambiguous_0,Hot Dog,Toast,Food,Breakfast,Plate,ambiguous_1,Pasta,Tomatoes,Lemon,Food,Lunch,ambiguous_2,Fish,Sauce,Plate,Food,Dinner,ambiguous_3,Tomatoes,Food,Plater,Lunch,Dinner,ambiguous_4,Plater,Toast,Lemon,Food,Breakfast,test_0,Spices,Food,Arrangement,Bowls,Festival,test_1,Dining table,Food,Served,Wine,Noodles,test_2,Dumpling,Rolls,Bowl,Food,Dinner,test_3,Sushi,Food,Plate,Dinner,Lunch,test_4,Cake,Soup,Bowl,Dolls,Lunch,5
A1KJ2WRVURHN5G,714,ambiguous_0,bread,sandwitch,burger,rusk,chicken,ambiguous_1,pasta,noodles,tomato cury,veg slad,chat item,ambiguous_2,Montan fry,white jam,cream,egg item,pizza,ambiguous_3,tomato salad,bread salad,butter,bread with butter,veg with butter,ambiguous_4,biscut,gee rosted,milk sweet,butter sweet,non-veg rosted,test_0,ganapathy,alwa,samasa,laadu,pongal,test_1,noodles,pizza,pasta,drinks,garlic,test_2,veg roll,palm,alwa,puff,meals,test_3,grape sweet,milk sweet,ghee sweet,rasagula,mysoreback,test_4,soup,dall,cake,bread,rasam,5
A16HTXB0BQ6YBM,423,ambiguous_0,sausage,bread,peppers,sauce,plump,ambiguous_1,tomatoes,pasta,penne,asparagus,basil,ambiguous_2,salmon,cavier,sauce,crab,small,ambiguous_3,tomato,pesto,cheese,veal,broccoli,ambiguous_4,potatoes,fried,lemon,asparagus,cheese,test_0,red,food,Hindu,Indian,cuisine,test_1,Italian,wine,pizza,spaghetti,calzone,test_2,Asian,dumpling,eggroll,steamed,wonton,test_3,Sushi,fish,rice,vegetables,seaweed,test_4,Russian,bread,soup,stew,dolls,5
A116SF9QIZ854X,418,ambiguous_0,DELICIOUS,BEAUTIFUL,HOT,SPICY,TASTY,ambiguous_1,TASTY,DELICIOUS,BEAUTIFUL,ATTRACTIVE,LOVELY,ambiguous_2,SWEETY,DELICIOUS,BEAUTIFUL,TASTY,CREAMY,ambiguous_3,SPICY,DELICIOUS,HOT,TASTY,ATTRACTIVE,ambiguous_4,TASTY,SOURY,BITTER,CRISPY,SPICY,test_0,WONDERFUL,BEAUTIFUL,RELIGIOUS,AROMATIC,ATTRACTIV,test_1,DELICIOUS,SPICY,HOT,ATTRACTIVE,ALCOHOLIC,test_2,SWEETY,SPICY,ROLLED,CRISPY,ATTRACTIVE,test_3,RAW,ROLLED,ATTRACTIVE,COLOURFULL,ENJOYABLE,test_4,SPICY,TASTY,ATTRACTIVE,SWEETY,NICE,0
A1IIS53RHR01J3,422,ambiguous_0,Bread Toast,Burger,Hamberger,Break Fast,Snacks,ambiguous_1,Veg Slices,Toasters,Tomato slice,break fast,Lunch,ambiguous_2,Cheese,Bread Cheese,Hamberger,Break Fast,Coffee with snacks,ambiguous_3,Sliced tomato,Sliced Bread,Sliced Corn,Break Fast,Lunch,ambiguous_4,Chicken wings,Chicken toaster,Hamberger,Lunch,Break Fast,test_0,Ganesh Chathurthi,Lord Ganesh Statue,Pooja,Homam Manthra,Festival,test_1,Breakfast,Lunch,Dining Hall,Burger,Cheese Burger,test_2,Chicken roll,Sweet Onion roll,Snacks,Snacks Varieties,Puff,test_3,Sweets,Festival,Sweet Varities,Ghee Sweets,Nutrients,test_4,Breakfast,Soup,Tomato Soup,Pepper,Crunch,3
A1614EW9OY4IQ0,183,ambiguous_0,delicious,food,bread,dinner,sauce,ambiguous_1,Noodle,pasta,tomato,greens,sauce,ambiguous_2,fish,salmon,calamari,cucumber,lunch,ambiguous_3,roasted,tomato,garnish,food,breaded,ambiguous_4,chicken,lemon,beige,bland,green,test_0,exotic,red,indian,naan,carbs,test_1,italian,pizza,wine,calzone,pasta,test_2,greek,leaves,bowl,fried,wrapped,test_3,sushi,raw,fish,red,rice,test_4,dolls,soup,red,bread,meat,3
A1QYORNO0GY308,548,cultural_0,chinese,holiday,dragon,festival,celebration,cultural_1,Georgian,dance,kazachok,blue,stage,cultural_2,Mexican,mariachi,celebration,music,band,cultural_3,English,red coats,hunt,dogs,riding,cultural_4,rodeo,cowboy,horses,riding,skill,test_0,Hindi,festivity,Ganesha,food,holiday,test_1,table,meal,food,vine,Italian,test_2,food,meal,plenty,dishes,nutrition,test_3,food,sushi,Japanese,variety,full plate,test_4,Borshch,nesting dolls,Russian,meal,food,6
A32XWNZW2DQ6UZ,503,cultural_0,dragen,china,festival,dance,traditional,cultural_1,dance,dancers,uniform,knife,group,cultural_2,violin,cap,performance,music,group,cultural_3,horse,dog,solders,riding,uniform,cultural_4,race,horse,riding,jockey,winner,test_0,god,lord,food,samosa,prayer,test_1,party,wine,foods,noodles,salad,test_2,food,variety,tasty,traditional,party,test_3,food,sweets,presentation,fish,plating,test_4,doll,russion,soup,food,plating,6
A7LJ0YZRO7GXP,1056,ambiguous_0,hot dog,capsicum,cucumber,bread,plate,ambiguous_1,tomato,lemon,leaves,pasta,bowl,ambiguous_2,plate,sweet,cup,green,food,ambiguous_3,tomato,cheese,brocoli,paste,yellow,ambiguous_4,plate,potato,lemon,snack,leaves,test_0,samosa,sweets,kesari,crispy,bowls,test_1,pizza,noodles,tomato,wine,plate,test_2,plates,food,snack,rolls,balls,test_3,fish,prawn,sushi,leaves,khadai,test_4,cake,soup,bowl,plate,tasty,5
A33KTU8KJ5CP2T,761,ingredients_0,Dry friuts,peanut,badam,cahewnut,mixer,ingredients_1,burger,bun,meat,sauces,cheese,ingredients_2,salad,green chilly,lime,garlic,cucumber,ingredients_3,flour,butter,egg,chocolate,for cake,ingredients_4,coriander leaf,green chilly,onion,oil,curry,test_0,Pooja,God,food offerings,festival,vessels,test_1,pizza,meat,salad,wine,sauce,test_2,fried roll,baked food,snacks,container,plates,test_3,seafood,shrimp,tuna,vegetables,arranged in plate,test_4,gravy,six puppets,bowl,plate,bread,2
A37DFWV5W6PXMS,341,ingredients_0,Brown,Crunchy,Hard,Protein,Nutty,ingredients_1,Rich,Soy,Asian,Carbs,Sweet,ingredients_2,Green,Citrusy,Spicy,Strong,Pepper,ingredients_3,Doughy,Rich,Buttery,Sweet,Chocolatey,ingredients_4,Herbal,Greens,Light,Aromic,Clean,test_0,Indian,Spicy,Rich,Curry,Fulfilling,test_1,Italian,Doughy,Cheese,Seasoned,Romantic,test_2,DimSum,Eggrolls,Homey,Family,Heartburn,test_3,Fishy,Bright,Beautiful,Raw,Sea,test_4,Russian,Spicy,Red,Dip,Bread,4
A2AI4HOWRCG7KZ,364,ingredients_0,nuts,shelled,healthy,nutritious,snack,ingredients_1,spices,seasoning,cooking,meal,burgers,ingredients_2,green,spicy,salsa,Mexican,fresh,ingredients_3,spices,cooking,recipe,dessert,chocolate,ingredients_4,spices,spicy,herbs,ground,recipe,test_0,Indian,selection,spice,feast,delicious,test_1,Italian,wine,pasta,tomato,meal,test_2,Asian,appetizers,small,fried,dumplings,test_3,sushi,fresh,fish,rice,sample,test_4,Russian,beets,soup,snack,warm,4
A2BG6O1B5B3F78,350,ambiguous_0,hot dog,rusk,greens,vegetables,healthy,ambiguous_1,vegetables,healthy,lemon,colorful,greens,ambiguous_2,not nice,partial,unhealthy,not colorful,tasty,ambiguous_3,healthy,food,butter,tomato,tasty,ambiguous_4,non veg,lemon,nice,colorful,tasty,test_0,god,verity,food,colorful,festival,test_1,verity,nodules,pizza,vegetables,colorful,test_2,uncooked,not good,unhealthy,colorful,nice to look,test_3,uncooked,food,colorful,arranged well,looking nice,test_4,statue,soup,red color,cake,cup of soup,5
A3RWFPVCIYZBQV,573,ambiguous_0,foods,non veg,meat,snacks,french food,ambiguous_1,snacks,fried food,evening snacks,macroni,tomato,ambiguous_2,egg,roast,veg,tiffon,ketchep,ambiguous_3,veg food,tomato,french item,veg,snacks,ambiguous_4,meat,food,veg,tiffon,non veg,test_0,gestival,lord,ganesh,pooja,foods,test_1,dinner,table,foods,party,food items,test_2,variety,snacks,indian foods,sweets,foods,test_3,variety food,non veg,sweets,veg,fruits,test_4,gravy,bread,toy,party,snacks,5
A3DBD6XA885626,304,ingredients_0,nuts,snack,healthy,tasty,good,ingredients_1,burgers,beef,meat,hamburger,yummy,ingredients_2,green,pepper,lime,fresh,produce,ingredients_3,ingredients,baking,fresh,cookies,chocolate,ingredients_4,seasoning,spices,flavor,pepper,hot,test_0,flavorful,colorful,Indian,curry,spicy,test_1,Italian,traditional,pasta,pizza,cheesy,test_2,Chinese,favorite,crunchy,hot,soy,test_3,sushi,raw,rice,fresh,cold,test_4,borscht,russian,chilled,red,flavor,4
